date,player_name,team_name,positions,selected_position,had_game,GP
2025-11-29,Vincent Trocheck,Trocheck Backcheck Paycheque,"C,Util",C,True,1
2025-11-29,Nathan MacKinnon,Trocheck Backcheck Paycheque,"C,Util",C,True,1
2025-11-29,Timo Meier,Trocheck Backcheck Paycheque,"LW,RW,Util",LW,True,1
2025-11-29,Travis Konecny,Trocheck Backcheck Paycheque,"LW,RW,Util",LW,True,1
2025-11-29,Nikita Kucherov,Trocheck Backcheck Paycheque,"RW,Util",RW,True,1
2025-11-29,Dylan Guenther,Trocheck Backcheck Paycheque,"LW,RW,Util",RW,True,1
2025-11-29,Jake McCabe,Trocheck Backcheck Paycheque,"D,Util",D,True,1
2025-11-29,Nikita Zadorov,Trocheck Backcheck Paycheque,"D,Util",D,True,1
2025-11-29,Brock Faber,Trocheck Backcheck Paycheque,"D,Util",D,True,1
2025-11-29,Brandon Montour,Trocheck Backcheck Paycheque,"D,Util,IR+",D,True,1
2025-11-29,Morgan Geekie,Trocheck Backcheck Paycheque,"C,LW,RW,Util",UTIL,True,1
2025-11-29,Tim Stutzle,Trocheck Backcheck Paycheque,"C,LW,Util",BN,False,0
2025-11-29,John Carlson,Trocheck Backcheck Paycheque,"D,Util,IR+",BN,False,0
2025-11-29,K'Andre Miller,Trocheck Backcheck Paycheque,"D,Util",BN,False,0
2025-11-29,Patrick Kane,Trocheck Backcheck Paycheque,"RW,Util",BN,True,0
2025-11-29,Mats Zuccarello,Trocheck Backcheck Paycheque,"RW,Util",BN,True,0
2025-11-29,Lukas Dostal,Trocheck Backcheck Paycheque,"G,IR,IR+",G,False,0
2025-11-29,Stuart Skinner,Trocheck Backcheck Paycheque,G,G,True,1
2025-11-29,Sergei Bobrovsky,Trocheck Backcheck Paycheque,G,BN,False,0
2025-11-29,Thomas Harley,Trocheck Backcheck Paycheque,"D,Util,IR+",IR+,False,0
