week,player_name,team_name,positions,GP
8,Vincent Trocheck,Trocheck Backcheck Paycheque,"C,Util",4
8,Tim Stutzle,Trocheck Backcheck Paycheque,"C,LW,Util",3
8,Timo Meier,Trocheck Backcheck Paycheque,"LW,RW,Util",4
8,Travis Konecny,Trocheck Backcheck Paycheque,"LW,RW,Util",2
8,Nikita Kucherov,Trocheck Backcheck Paycheque,"RW,Util",4
8,Patrick Kane,Trocheck Backcheck Paycheque,"RW,Util",2
8,Brandon Montour,Trocheck Backcheck Paycheque,"D,Util,IR+",2
8,Brock Faber,Trocheck Backcheck Paycheque,"D,Util",2
8,K'Andre Miller,Trocheck Backcheck Paycheque,"D,Util",2
8,John Carlson,Trocheck Backcheck Paycheque,"D,Util,IR+",4
8,Dylan Guenther,Trocheck Backcheck Paycheque,"LW,RW,Util",4
8,Nathan MacKinnon,Trocheck Backcheck Paycheque,"C,Util",3
8,Morgan Geekie,Trocheck Backcheck Paycheque,"C,LW,RW,Util",3
8,Jaden Schwartz,Trocheck Backcheck Paycheque,"C,LW,Util,IR,IR+",0
8,Mats Zuccarello,Trocheck Backcheck Paycheque,"RW,Util",0
8,Nikita Zadorov,Trocheck Backcheck Paycheque,"D,Util",3
8,Jake McCabe,Trocheck Backcheck Paycheque,"D,Util",2
8,Lukas Dostal,Trocheck Backcheck Paycheque,"G,IR,IR+",0
8,Sergei Bobrovsky,Trocheck Backcheck Paycheque,G,1
8,Thomas Harley,Trocheck Backcheck Paycheque,"D,Util,IR+",0
8,Daniil Tarasov,Trocheck Backcheck Paycheque,G,1
8,Stuart Skinner,Trocheck Backcheck Paycheque,G,1
